province,latitude,longitude
กรุงเทพมหานคร,13.72917,100.52389
สมุทรปราการ,13.59556,100.60722
อุดรธานี,17.53917,102.78444
นนทบุรี,13.85083,100.52222
ชลบุรี,13.36222,100.98333
นครราชสีมา,14.975,102.1
เชียงใหม่,18.79028,98.96056
สุราษฎร์ธานี,9.13972,99.33056
นครปฐม,13.81556,100.03722
ขอนแก่น,16.43889,102.82861
อุบลราชธานี,15.22806,104.85944
นครศรีธรรมราช,8.43639,99.96306
สระแก้ว,13.7912,102.2548
นครสวรรค์,15.71333,100.13528
พิษณุโลก,16.81583,100.26361
สงขลา,7.20611,100.59667
พระนครศรีอยุธยา,14.35361,100.56917
เชียงราย,19.90944,99.8275
ยะลา,6.5425,101.28306
สกลนคร,17.15639,104.14556
ภูเก็ต,7.88,98.3925
สระบุรี,14.52861,100.91139
ตรัง,7.5575,99.61028
กาญจนบุรี,14.01944,99.53111
หนองคาย,17.87444,102.73833
สมุทรสาคร,13.54861,100.2775
กำแพงเพชร,16.48111,99.52222
ชัยภูมิ,15.80556,102.03111
อุตรดิตถ์,17.62306,100.09583
ลำปาง,18.28611,99.51306
ลพบุรี,14.8,100.62694
ชุมพร,10.49389,99.18
กาฬสินธุ์,16.43417,103.50917
ระยอง,12.67417,101.27889
มหาสารคาม,16.17722,103.30083
เพชรบูรณ์,16.42417,101.15472
ฉะเชิงเทรา,13.69028,101.07028
นราธิวาส,6.42639,101.81528
สุรินทร์,14.88,103.49
เพชรบุรี,13.11194,99.94583
ศรีสะเกษ,15.11444,104.32028
ปัตตานี,6.86778,101.25
พัทลุง,7.61667,100.08333
ลำพูน,18.58639,99.01194
มุกดาหาร,16.54306,104.72278
ร้อยเอ็ด,16.05306,103.65111
แพร่,18.14528,100.14194
ราชบุรี,13.53556,99.81333
สุโขทัย,17.00583,99.82639
พิจิตร,16.44306,100.34667
เลย,17.48528,101.73028
สมุทรสงคราม,13.41972,100.00167
อำนาจเจริญ,15.85,104.63333
นครพนม,17.40694,104.78083
สตูล,6.61472,100.06806
หนองบัวลำภู,17.20417,102.44444
ประจวบคีรีขันธ์,11.81667,99.8
กระบี่,8.05917,98.91889
บุรีรัมย์,14.99417,103.10222
จันทบุรี,12.60861,102.10389
สุพรรณบุรี,14.4675,100.11694
น่าน,18.78333,100.78333
ระนอง,10.03917,98.6125
ปทุมธานี,14.05,100.48333
ตาก,16.89667,99.01333
ยโสธร,15.79722,104.14306
ตราด,12.3025,102.5125
พะเยา,19.16528,99.90361
สิงห์บุรี,14.89111,100.40306
ชัยนาท,15.18722,100.12833
อ่างทอง,14.5925,100.45722
พังงา,8.46444,98.53167
แม่ฮ่องสอน,19.30111,97.97
อุทัยธานี,15.2999,99.4562
ปราจีนบุรี,14.05667,101.37389
นครนายก,14.1224,101.0712
บึงกาฬ,18.2204,103.6363
